star_1_x_pos,star_1_y_pos,star_1_m,planet_1_m,length,height
478,713,123,11,2000,1142.857142857143
389,570,148,11,2000,1142.857142857143
1282,545,128,11,2000,1142.857142857143
1443,699,117,19,2000,1142.857142857143
345,366,142,12,2000,1142.857142857143
1359,617,116,18,2000,1142.857142857143
1628,587,125,13,2000,1142.857142857143
1579,370,126,19,2000,1142.857142857143
658,370,115,18,2000,1142.857142857143
654,707,109,10,2000,1142.857142857143
1164,654,117,11,2000,1142.857142857143
1346,540,139,11,2000,1142.857142857143
654,454,128,6,2000,1142.857142857143
800,599,144,13,2000,1142.857142857143
1667,725,136,15,2000,1142.857142857143
897,635,103,11,2000,1142.857142857143
877,755,100,12,2000,1142.857142857143
1174,520,116,13,2000,1142.857142857143
413,566,107,6,2000,1142.857142857143
1636,695,124,18,2000,1142.857142857143
1258,635,147,10,2000,1142.857142857143
1086,385,110,9,2000,1142.857142857143
521,439,148,10,2000,1142.857142857143
1733,739,140,8,2000,1142.857142857143
746,400,108,18,2000,1142.857142857143
292,630,135,7,2000,1142.857142857143
1130,626,145,18,2000,1142.857142857143
1589,745,117,14,2000,1142.857142857143
1520,439,109,12,2000,1142.857142857143
544,746,122,11,2000,1142.857142857143
1627,488,111,13,2000,1142.857142857143
710,652,127,11,2000,1142.857142857143
561,385,137,13,2000,1142.857142857143
907,426,112,12,2000,1142.857142857143
647,351,116,8,2000,1142.857142857143
294,615,127,10,2000,1142.857142857143
286,525,110,6,2000,1142.857142857143
430,660,110,11,2000,1142.857142857143
1279,608,125,5,2000,1142.857142857143
1484,714,105,8,2000,1142.857142857143
536,533,121,12,2000,1142.857142857143
884,536,107,9,2000,1142.857142857143
1591,431,106,12,2000,1142.857142857143
641,560,125,10,2000,1142.857142857143
1302,415,116,17,2000,1142.857142857143
397,413,110,5,2000,1142.857142857143
284,575,101,13,2000,1142.857142857143
1667,613,115,12,2000,1142.857142857143
1286,373,136,17,2000,1142.857142857143
1344,501,119,11,2000,1142.857142857143
1681,597,128,18,2000,1142.857142857143
1162,445,143,11,2000,1142.857142857143
656,481,131,11,2000,1142.857142857143
1509,537,111,11,2000,1142.857142857143
658,596,133,8,2000,1142.857142857143
937,529,143,12,2000,1142.857142857143
877,426,145,16,2000,1142.857142857143
1526,512,133,12,2000,1142.857142857143
1324,467,107,7,2000,1142.857142857143
1108,538,137,15,2000,1142.857142857143
1588,386,142,18,2000,1142.857142857143
1038,376,130,17,2000,1142.857142857143
356,615,114,11,2000,1142.857142857143
988,356,147,15,2000,1142.857142857143
1437,604,128,14,2000,1142.857142857143
932,599,134,19,2000,1142.857142857143
912,523,141,19,2000,1142.857142857143
1708,508,101,5,2000,1142.857142857143
267,732,143,8,2000,1142.857142857143
1740,681,128,8,2000,1142.857142857143
1508,408,113,10,2000,1142.857142857143
559,473,145,15,2000,1142.857142857143
521,770,129,5,2000,1142.857142857143
1692,675,108,12,2000,1142.857142857143
302,544,134,11,2000,1142.857142857143
1443,480,106,10,2000,1142.857142857143
576,358,100,16,2000,1142.857142857143
717,377,125,6,2000,1142.857142857143
490,679,125,11,2000,1142.857142857143
861,771,123,5,2000,1142.857142857143
331,666,121,19,2000,1142.857142857143
1728,753,140,10,2000,1142.857142857143
986,419,130,17,2000,1142.857142857143
644,404,120,19,2000,1142.857142857143
1361,632,131,5,2000,1142.857142857143
1063,709,146,5,2000,1142.857142857143
1004,600,146,13,2000,1142.857142857143
705,397,130,18,2000,1142.857142857143
473,412,116,6,2000,1142.857142857143
634,611,148,6,2000,1142.857142857143
1621,464,137,10,2000,1142.857142857143
1040,781,120,13,2000,1142.857142857143
290,643,138,8,2000,1142.857142857143
1340,530,108,7,2000,1142.857142857143
477,546,131,15,2000,1142.857142857143
1158,656,111,14,2000,1142.857142857143
1128,631,116,18,2000,1142.857142857143
1464,702,134,10,2000,1142.857142857143
1582,380,125,13,2000,1142.857142857143
993,365,137,13,2000,1142.857142857143
1662,732,108,16,2000,1142.857142857143
1118,581,128,16,2000,1142.857142857143
607,635,126,10,2000,1142.857142857143
1603,738,113,8,2000,1142.857142857143
864,448,141,11,2000,1142.857142857143
1428,501,113,12,2000,1142.857142857143
1159,789,110,12,2000,1142.857142857143
569,393,118,7,2000,1142.857142857143
893,612,136,17,2000,1142.857142857143
917,458,145,10,2000,1142.857142857143
1006,573,134,16,2000,1142.857142857143
319,461,117,15,2000,1142.857142857143
937,545,149,16,2000,1142.857142857143
645,575,104,18,2000,1142.857142857143
1152,769,147,7,2000,1142.857142857143
1171,374,105,10,2000,1142.857142857143
930,573,130,16,2000,1142.857142857143
1330,441,144,11,2000,1142.857142857143
1468,764,112,9,2000,1142.857142857143
666,388,101,19,2000,1142.857142857143
1422,414,133,5,2000,1142.857142857143
268,564,139,11,2000,1142.857142857143
1147,453,138,15,2000,1142.857142857143
657,562,109,11,2000,1142.857142857143
320,607,147,16,2000,1142.857142857143
258,463,134,11,2000,1142.857142857143
802,691,138,17,2000,1142.857142857143
834,764,130,14,2000,1142.857142857143
1415,418,146,15,2000,1142.857142857143
1360,504,106,19,2000,1142.857142857143
294,448,143,10,2000,1142.857142857143
375,572,144,10,2000,1142.857142857143
1586,633,147,10,2000,1142.857142857143
1564,701,110,13,2000,1142.857142857143
881,430,145,16,2000,1142.857142857143
543,422,110,12,2000,1142.857142857143
789,628,131,17,2000,1142.857142857143
609,570,134,19,2000,1142.857142857143
1036,714,134,9,2000,1142.857142857143
1441,712,116,7,2000,1142.857142857143
1268,589,110,16,2000,1142.857142857143
407,775,105,6,2000,1142.857142857143
604,664,145,10,2000,1142.857142857143
389,769,114,11,2000,1142.857142857143
629,514,121,7,2000,1142.857142857143
482,496,134,19,2000,1142.857142857143
389,627,134,18,2000,1142.857142857143
745,384,125,14,2000,1142.857142857143
1088,649,122,16,2000,1142.857142857143
1112,396,126,13,2000,1142.857142857143
1609,598,126,18,2000,1142.857142857143
792,658,110,5,2000,1142.857142857143
1466,661,100,19,2000,1142.857142857143
1050,744,103,16,2000,1142.857142857143
1403,393,125,16,2000,1142.857142857143
513,615,129,6,2000,1142.857142857143
1509,784,107,12,2000,1142.857142857143
830,440,148,14,2000,1142.857142857143
931,389,128,6,2000,1142.857142857143
1519,658,131,5,2000,1142.857142857143
1040,453,141,15,2000,1142.857142857143
356,532,108,18,2000,1142.857142857143
855,637,137,19,2000,1142.857142857143
390,495,148,11,2000,1142.857142857143
1193,543,122,17,2000,1142.857142857143
911,600,128,11,2000,1142.857142857143
616,410,119,18,2000,1142.857142857143
1308,356,105,8,2000,1142.857142857143
1527,619,105,13,2000,1142.857142857143
1623,607,128,7,2000,1142.857142857143
1630,740,108,11,2000,1142.857142857143
1069,351,123,13,2000,1142.857142857143
1394,787,104,10,2000,1142.857142857143
1526,622,140,16,2000,1142.857142857143
732,452,130,5,2000,1142.857142857143
1371,772,140,16,2000,1142.857142857143
1473,543,145,9,2000,1142.857142857143
1274,711,115,16,2000,1142.857142857143
1732,472,118,10,2000,1142.857142857143
1051,512,139,6,2000,1142.857142857143
885,659,144,12,2000,1142.857142857143
328,740,100,12,2000,1142.857142857143
337,660,118,11,2000,1142.857142857143
500,727,136,8,2000,1142.857142857143
614,451,107,16,2000,1142.857142857143
690,609,102,11,2000,1142.857142857143
966,687,148,15,2000,1142.857142857143
863,455,117,10,2000,1142.857142857143
1607,391,142,5,2000,1142.857142857143
1551,431,133,19,2000,1142.857142857143
595,705,113,16,2000,1142.857142857143
708,765,140,16,2000,1142.857142857143
1386,746,122,19,2000,1142.857142857143
1697,715,139,16,2000,1142.857142857143
520,536,108,16,2000,1142.857142857143
1368,488,100,7,2000,1142.857142857143
493,705,149,6,2000,1142.857142857143
1531,430,101,13,2000,1142.857142857143
1505,503,100,6,2000,1142.857142857143
852,664,142,9,2000,1142.857142857143
549,632,108,16,2000,1142.857142857143
672,772,106,6,2000,1142.857142857143
804,528,138,10,2000,1142.857142857143
722,677,123,11,2000,1142.857142857143
843,612,104,9,2000,1142.857142857143
573,662,126,8,2000,1142.857142857143
1721,469,114,5,2000,1142.857142857143
1427,651,126,14,2000,1142.857142857143
1582,378,133,9,2000,1142.857142857143
1556,408,117,18,2000,1142.857142857143
647,626,130,11,2000,1142.857142857143
1393,594,138,15,2000,1142.857142857143
305,689,131,12,2000,1142.857142857143
565,702,101,11,2000,1142.857142857143
828,611,129,15,2000,1142.857142857143
