star_1_x_pos,star_1_y_pos,star_1_m,planet_1_m,length,height
550,450,102,9,2000,1142.857142857143
348,590,114,9,2000,1142.857142857143
309,670,108,12,2000,1142.857142857143
842,681,107,9,2000,1142.857142857143
1513,508,131,6,2000,1142.857142857143
1319,367,114,19,2000,1142.857142857143
688,596,125,9,2000,1142.857142857143
1035,363,145,17,2000,1142.857142857143
1225,508,140,10,2000,1142.857142857143
1096,590,143,9,2000,1142.857142857143
557,679,114,11,2000,1142.857142857143
835,516,137,13,2000,1142.857142857143
1676,783,149,18,2000,1142.857142857143
1487,629,139,17,2000,1142.857142857143
1513,600,148,16,2000,1142.857142857143
819,711,104,13,2000,1142.857142857143
865,607,106,12,2000,1142.857142857143
783,545,129,6,2000,1142.857142857143
502,791,125,18,2000,1142.857142857143
1200,521,149,14,2000,1142.857142857143
1108,645,139,5,2000,1142.857142857143
851,744,144,14,2000,1142.857142857143
680,629,117,9,2000,1142.857142857143
1445,765,145,15,2000,1142.857142857143
1649,350,110,14,2000,1142.857142857143
939,485,123,11,2000,1142.857142857143
1042,582,138,8,2000,1142.857142857143
965,412,142,11,2000,1142.857142857143
435,718,125,13,2000,1142.857142857143
1252,532,142,13,2000,1142.857142857143
844,637,126,13,2000,1142.857142857143
1532,534,143,8,2000,1142.857142857143
1007,440,115,14,2000,1142.857142857143
855,750,139,5,2000,1142.857142857143
1012,594,100,9,2000,1142.857142857143
1486,674,149,17,2000,1142.857142857143
1569,488,110,12,2000,1142.857142857143
1404,407,136,5,2000,1142.857142857143
794,761,111,15,2000,1142.857142857143
1424,599,110,15,2000,1142.857142857143
255,384,131,19,2000,1142.857142857143
804,753,134,7,2000,1142.857142857143
691,593,141,13,2000,1142.857142857143
881,567,122,5,2000,1142.857142857143
772,422,115,9,2000,1142.857142857143
697,577,110,7,2000,1142.857142857143
543,420,139,6,2000,1142.857142857143
584,729,134,6,2000,1142.857142857143
502,429,129,17,2000,1142.857142857143
1270,704,120,11,2000,1142.857142857143
1048,595,148,6,2000,1142.857142857143
1218,443,131,15,2000,1142.857142857143
1492,413,115,6,2000,1142.857142857143
945,635,140,17,2000,1142.857142857143
430,779,107,10,2000,1142.857142857143
524,697,105,18,2000,1142.857142857143
749,388,141,19,2000,1142.857142857143
1124,461,116,15,2000,1142.857142857143
1269,717,116,6,2000,1142.857142857143
1177,742,100,9,2000,1142.857142857143
1458,733,132,15,2000,1142.857142857143
825,554,134,9,2000,1142.857142857143
607,444,100,16,2000,1142.857142857143
1282,723,120,11,2000,1142.857142857143
1151,520,131,14,2000,1142.857142857143
950,475,134,18,2000,1142.857142857143
406,711,145,11,2000,1142.857142857143
709,585,138,12,2000,1142.857142857143
1576,650,101,15,2000,1142.857142857143
1450,592,136,19,2000,1142.857142857143
867,740,130,11,2000,1142.857142857143
813,351,133,5,2000,1142.857142857143
1185,543,130,13,2000,1142.857142857143
778,444,143,16,2000,1142.857142857143
1731,741,137,19,2000,1142.857142857143
1260,671,146,17,2000,1142.857142857143
492,673,138,8,2000,1142.857142857143
934,720,142,12,2000,1142.857142857143
1599,512,123,15,2000,1142.857142857143
1535,613,123,5,2000,1142.857142857143
1070,629,107,17,2000,1142.857142857143
655,427,132,18,2000,1142.857142857143
776,788,103,15,2000,1142.857142857143
1417,496,113,17,2000,1142.857142857143
598,422,114,12,2000,1142.857142857143
313,533,145,15,2000,1142.857142857143
1054,733,128,16,2000,1142.857142857143
1613,678,115,8,2000,1142.857142857143
295,718,136,11,2000,1142.857142857143
1242,708,105,7,2000,1142.857142857143
1636,667,115,8,2000,1142.857142857143
448,678,137,11,2000,1142.857142857143
1406,602,117,7,2000,1142.857142857143
1646,751,143,14,2000,1142.857142857143
1030,435,103,11,2000,1142.857142857143
903,573,109,13,2000,1142.857142857143
1583,536,148,9,2000,1142.857142857143
1662,565,106,9,2000,1142.857142857143
963,690,114,7,2000,1142.857142857143
485,772,125,13,2000,1142.857142857143
1599,602,146,6,2000,1142.857142857143
997,686,129,7,2000,1142.857142857143
499,581,120,5,2000,1142.857142857143
1294,786,120,19,2000,1142.857142857143
1166,407,112,15,2000,1142.857142857143
721,580,148,17,2000,1142.857142857143
1648,577,143,5,2000,1142.857142857143
1624,648,145,8,2000,1142.857142857143
1420,408,135,9,2000,1142.857142857143
1094,719,117,8,2000,1142.857142857143
1333,381,109,18,2000,1142.857142857143
542,652,106,5,2000,1142.857142857143
898,478,123,12,2000,1142.857142857143
686,352,122,12,2000,1142.857142857143
1375,656,126,14,2000,1142.857142857143
1213,358,116,16,2000,1142.857142857143
451,757,138,13,2000,1142.857142857143
683,569,108,13,2000,1142.857142857143
645,687,134,18,2000,1142.857142857143
332,393,143,9,2000,1142.857142857143
1239,377,120,13,2000,1142.857142857143
