star_1_x_pos,star_1_y_pos,star_1_m,planet_1_m,length,height
1547,715,114,8,2000,1142.857142857143
1462,446,108,7,2000,1142.857142857143
1376,670,117,10,2000,1142.857142857143
868,510,109,9,2000,1142.857142857143
1696,682,105,6,2000,1142.857142857143
1458,539,109,8,2000,1142.857142857143
1056,586,103,8,2000,1142.857142857143
407,600,112,6,2000,1142.857142857143
1643,548,122,7,2000,1142.857142857143
1354,789,112,11,2000,1142.857142857143
1399,683,107,7,2000,1142.857142857143
1623,730,101,5,2000,1142.857142857143
677,384,102,5,2000,1142.857142857143
915,758,100,10,2000,1142.857142857143
1073,352,117,11,2000,1142.857142857143
655,417,111,5,2000,1142.857142857143
632,373,107,10,2000,1142.857142857143
615,500,121,9,2000,1142.857142857143
634,515,121,8,2000,1142.857142857143
677,655,117,7,2000,1142.857142857143
782,650,109,6,2000,1142.857142857143
527,753,122,6,2000,1142.857142857143
1014,668,122,9,2000,1142.857142857143
1387,553,119,10,2000,1142.857142857143
1447,625,113,5,2000,1142.857142857143
300,516,112,8,2000,1142.857142857143
1030,364,123,6,2000,1142.857142857143
1052,441,111,11,2000,1142.857142857143
510,443,105,5,2000,1142.857142857143
1551,350,109,9,2000,1142.857142857143
1561,638,117,9,2000,1142.857142857143
1536,592,106,10,2000,1142.857142857143
294,454,106,6,2000,1142.857142857143
673,419,109,7,2000,1142.857142857143
887,597,113,11,2000,1142.857142857143
336,691,100,8,2000,1142.857142857143
1235,623,119,5,2000,1142.857142857143
433,402,100,6,2000,1142.857142857143
1240,767,116,7,2000,1142.857142857143
808,789,111,7,2000,1142.857142857143
1564,629,107,10,2000,1142.857142857143
1570,577,110,6,2000,1142.857142857143
1039,706,113,7,2000,1142.857142857143
1145,661,118,8,2000,1142.857142857143
1471,667,106,6,2000,1142.857142857143
1707,564,112,7,2000,1142.857142857143
1473,702,120,11,2000,1142.857142857143
836,389,117,7,2000,1142.857142857143
1066,485,111,7,2000,1142.857142857143
476,434,124,5,2000,1142.857142857143
642,535,108,5,2000,1142.857142857143
901,425,112,10,2000,1142.857142857143
666,488,114,9,2000,1142.857142857143
949,580,110,6,2000,1142.857142857143
1525,637,124,8,2000,1142.857142857143
801,362,103,8,2000,1142.857142857143
1347,678,108,9,2000,1142.857142857143
460,526,102,9,2000,1142.857142857143
1015,476,119,10,2000,1142.857142857143
1285,357,117,9,2000,1142.857142857143
456,375,105,9,2000,1142.857142857143
1712,538,123,7,2000,1142.857142857143
310,428,116,11,2000,1142.857142857143
979,583,111,9,2000,1142.857142857143
1249,691,111,9,2000,1142.857142857143
1579,502,102,8,2000,1142.857142857143
1209,686,112,6,2000,1142.857142857143
330,660,104,10,2000,1142.857142857143
869,350,121,7,2000,1142.857142857143
737,372,119,9,2000,1142.857142857143
1733,710,109,7,2000,1142.857142857143
1664,408,106,5,2000,1142.857142857143
1263,732,110,8,2000,1142.857142857143
945,430,108,11,2000,1142.857142857143
1631,611,115,11,2000,1142.857142857143
630,546,114,9,2000,1142.857142857143
1146,763,102,10,2000,1142.857142857143
1615,392,111,8,2000,1142.857142857143
1574,656,106,9,2000,1142.857142857143
1394,648,107,5,2000,1142.857142857143
930,732,124,10,2000,1142.857142857143
934,539,102,6,2000,1142.857142857143
1015,454,106,8,2000,1142.857142857143
348,707,124,10,2000,1142.857142857143
525,758,120,8,2000,1142.857142857143
824,651,119,7,2000,1142.857142857143
664,412,100,10,2000,1142.857142857143
1198,746,117,10,2000,1142.857142857143
807,571,105,9,2000,1142.857142857143
312,391,104,6,2000,1142.857142857143
1342,735,124,6,2000,1142.857142857143
1647,420,102,11,2000,1142.857142857143
1116,589,107,5,2000,1142.857142857143
782,351,121,6,2000,1142.857142857143
1237,642,114,10,2000,1142.857142857143
1685,365,108,6,2000,1142.857142857143
822,676,105,5,2000,1142.857142857143
1294,354,114,10,2000,1142.857142857143
919,441,100,8,2000,1142.857142857143
1387,379,112,8,2000,1142.857142857143
489,393,103,6,2000,1142.857142857143
1159,510,112,10,2000,1142.857142857143
401,464,111,10,2000,1142.857142857143
