was succesful, reward, actual steps, target steps, runs completed
0,-216,85,1024,1
0,-216,88,1024,2
0,-96,33,1024,3
1,1166,1025,1024,4
0,-232,63,1024,5
1,1166,1025,1024,6
0,104,234,1024,7
1,1166,1025,1024,8
0,-88,46,1024,9
1,1166,1025,1024,10
1,1166,1025,1024,11
0,-272,16,1024,12
0,-256,36,1024,13
0,-104,28,1024,14
0,-56,84,1024,15
0,-256,38,1024,16
0,72,195,1024,17
1,1166,1025,1024,18
0,40,158,1024,19
0,88,216,1024,20
1,1166,1025,1024,21
1,1166,1025,1024,22
1,1166,1025,1024,23
0,-104,26,1024,24
0,-272,16,1024,25
0,-80,60,1024,26
0,-176,136,1024,27
0,-64,77,1024,28
0,-248,43,1024,29
0,-200,101,1024,30
1,1166,1025,1024,31
1,1166,1025,1024,32
1,1166,1025,1024,33
0,72,194,1024,34
0,-80,57,1024,35
0,-120,5,1024,36
0,-224,78,1024,37
0,-232,67,1024,38
1,1166,1025,1024,39
0,-120,10,1024,40
1,1166,1025,1024,41
0,-256,32,1024,42
0,56,177,1024,43
0,56,173,1024,44
0,-272,19,1024,45
1,1166,1025,1024,46
1,1166,1025,1024,47
0,160,307,1024,48
1,1166,1025,1024,49
0,-240,51,1024,50
0,-248,43,1024,51
1,1166,1025,1024,52
0,48,164,1024,53
0,-240,51,1024,54
1,1166,1025,1024,55
0,144,285,1024,56
1,1166,1025,1024,57
1,1166,1025,1024,58
0,-72,63,1024,59
0,96,225,1024,60
1,1166,1025,1024,61
1,1166,1025,1024,62
0,-72,68,1024,63
1,1166,1025,1024,64
0,-120,2,1024,65
1,1166,1025,1024,66
1,1166,1025,1024,67
0,-120,9,1024,68
0,88,220,1024,69
1,1166,1025,1024,70
1,1166,1025,1024,71
0,-272,19,1024,72
0,-216,81,1024,73
0,-88,49,1024,74
0,-96,32,1024,75
1,1166,1025,1024,76
0,-104,26,1024,77
0,-216,84,1024,78
1,1166,1025,1024,79
0,-240,53,1024,80
0,-104,27,1024,81
0,-256,39,1024,82
1,1166,1025,1024,83
0,-112,13,1024,84
0,-104,26,1024,85
1,1166,1025,1024,86
0,72,199,1024,87
0,-104,29,1024,88
1,1166,1025,1024,89
0,-232,69,1024,90
0,-240,58,1024,91
0,-112,15,1024,92
0,-208,99,1024,93
0,-224,77,1024,94
0,-96,33,1024,95
0,-256,32,1024,96
0,-168,144,1024,97
1,1166,1025,1024,98
1,1166,1025,1024,99
1,1166,1025,1024,100
0,-232,61,1024,101
1,1166,1025,1024,102
0,-64,72,1024,103
1,1166,1025,1024,104
0,72,196,1024,105
1,1166,1025,1024,106
1,1166,1025,1024,107
0,-96,39,1024,108
0,-232,61,1024,109
0,-96,33,1024,110
1,1166,1025,1024,111
1,1166,1025,1024,112
0,-112,12,1024,113
1,1166,1025,1024,114
0,80,209,1024,115
1,1166,1025,1024,116
0,56,177,1024,117
1,1166,1025,1024,118
0,-104,21,1024,119
0,-96,39,1024,120
1,1166,1025,1024,121
0,-48,93,1024,122
0,-272,17,1024,123
0,-256,37,1024,124
0,56,172,1024,125
0,40,154,1024,126
1,1166,1025,1024,127
0,-104,21,1024,128
1,1166,1025,1024,129
0,-272,16,1024,130
1,1166,1025,1024,131
1,1166,1025,1024,132
1,1166,1025,1024,133
0,-104,23,1024,134
0,-216,87,1024,135
1,1166,1025,1024,136
1,1166,1025,1024,137
1,1166,1025,1024,138
0,-88,41,1024,139
0,-72,62,1024,140
1,1166,1025,1024,141
1,1166,1025,1024,142
1,1166,1025,1024,143
1,1166,1025,1024,144
0,-272,17,1024,145
0,-224,73,1024,146
1,1166,1025,1024,147
0,-240,56,1024,148
1,1166,1025,1024,149
0,-248,43,1024,150
