was succesful, reward, actual ca, target ca, runs completed
0,-84.101,2.38,20,1
0,-81.647,1.7999999999999998,20,2
0,-46.663999999999994,5.2,20,3
0,-48.305,4.1899999999999995,20,4
0,-56.543000000000006,4.03,20,5
0,-63.7,3.9099999999999997,20,6
1,1113.141199999809,20.02,20,7
0,-58.068,4.86,20,8
0,-87.69,1.36,20,9
0,-69.408,2.7800000000000002,20,10
0,-59.899,4.16,20,11
0,-67.694,3.0999999999999996,20,12
0,-90.89,0.72,20,13
0,-78.0,3.02,20,14
0,-35.25399999999999,4.6499999999999995,20,15
0,-57.934,4.54,20,16
0,-41.70300000000001,4.89,20,17
0,-32.440000000000005,6.32,20,18
0,-72.643,2.61,20,19
0,-41.46399999999999,4.63,20,20
0,-68.053,3.21,20,21
